IGKV2-69*01	1	78	79	111	112	162	163	171	172	279	VK	0
IGKV3-67*01	1	78	79	96	97	147	148	156	157	264	VK	0
pIGKV2-66*02	1	78	79	111	112	162	163	171	172	279	VK	0
IGKV7-65*01	1	78	79	114	115	165	166	174	175	282	VK	0
IGKV4-64*02	1	78	79	114	115	165	166	174	175	282	VK	0
IGKV1-63*01	1	78	79	96	97	147	148	156	157	264	VK	0
IGKV8-62*01	1	78	79	96	97	147	148	156	157	264	VK	0
pIGKV2-61*01	1	78	79	111	112	162	163	171	172	279	VK	0
pIGKV2-60*01	1	78	79	111	112	162	163	171	172	279	VK	0
IGKV3-58*02	1	78	79	96	97	147	148	156	157	264	VK	0
orfIGKV1-57-2	1	78	79	96	97	147	148	156	157	264	VK	0
IGKV2-55*02	1	78	79	111	112	162	163	171	172	279	VK	0
IGKV2-55*01	1	78	79	111	112	162	163	171	172	280	VK	0
IGKV2-53*02	1	78	79	111	112	162	163	171	172	279	VK	0
IGKV2-53*01	1	78	79	111	112	162	163	171	172	279	VK	0
IGKV3-51*01	1	78	79	96	97	147	148	156	157	264	VK	0
IGKV3-48*01	1	78	79	96	97	147	148	156	157	264	VK	0
pIGKV1-47*01	1	78	79	96	97	147	148	156	157	264	VK	0
IGKV2-45*01	1	78	79	111	112	162	163	171	172	279	VK	0
IGKV2-44*01	1	78	79	111	112	162	163	171	172	279	VK	0
orfIGKV3-43-2	1	78	79	96	97	147	148	156	157	264	VK	0
IGKV2-40*01	1	78	79	111	112	162	163	171	172	279	VK	0
IGKV2-38*01	1	78	79	111	112	161	162	162	163	270	VK	0
IGKV2-37*01	1	81	82	114	115	165	166	174	175	282	VK	0
IGKV2-36*01	1	78	79	111	112	162	163	171	172	279	VK	0
IGKV3-34*01	1	78	79	96	97	147	148	156	157	264	VK	0
IGKV2-32*01	1	78	79	111	112	162	163	171	172	279	VK	0
IGKV2-31*01	1	78	79	111	112	162	163	171	172	279	VK	0
IGKV2-28*01	1	78	79	111	112	162	163	171	172	279	VK	0
IGKV3-26*01	1	78	79	96	97	147	148	156	157	264	VK	0
IGKV2-25*01	1	78	79	111	112	162	163	171	172	279	VK	0
IGKV2-23*02	1	78	79	111	112	162	163	171	172	279	VK	0
IGKV2-23*01	1	78	79	111	112	162	163	171	172	279	VK	0
IGKV2-22*02	1	78	79	111	112	162	163	171	172	279	VK	0
IGKV2-22*01	1	78	79	111	112	162	163	171	172	279	VK	0
IGKV3-21*02	1	78	79	96	97	147	148	156	157	264	VK	0
IGKV3-21*01	1	78	79	96	97	147	148	156	157	264	VK	0
IGKV2-19*02	1	78	79	111	112	162	163	171	172	279	VK	0
IGKV2-19*01	1	78	79	111	112	162	163	171	172	279	VK	0
IGKV3-17-2	1	78	79	96	97	147	148	156	157	264	VK	0
IGKV3-17-1	1	78	79	96	97	147	148	156	157	264	VK	0
IGKV3-15-2	1	78	79	96	97	147	148	156	157	264	VK	0
IGKV3-15-1	1	78	79	96	97	147	148	156	157	264	VK	0
IGKV8-13*02	1	78	79	96	97	147	148	156	157	264	VK	0
IGKV8-13*01	1	78	79	96	97	147	148	156	157	264	VK	0
orfIGKV2-9*01	1	78	79	111	112	162	163	171	172	279	VK	0
IGKV2-8*01	1	78	79	111	112	162	163	171	172	279	VK	0
IGKV2-7-2	1	78	79	111	112	162	163	171	172	279	VK	0
IGKV2-7*01	1	78	79	111	112	162	163	171	172	279	VK	0
